category,disease,link
co-xuong-khop,Chấn thương dây chằng đầu gối,https://nhathuoclongchau.com.vn/benh/chan-thuong-day-chang-dau-goi.html
co-xuong-khop,Viêm điểm bám gân,https://nhathuoclongchau.com.vn/benh/viem-diem-bam-gan.html
co-xuong-khop,Trật khớp hông,https://nhathuoclongchau.com.vn/benh/trat-khop-hong.html
co-xuong-khop,Gãy cổ xương đùi​,https://nhathuoclongchau.com.vn/benh/gay-co-xuong-dui.html
co-xuong-khop,Vòng thắt chi bẩm sinh,https://nhathuoclongchau.com.vn/benh/vong-that-chi-bam-sinh.html
co-xuong-khop,u nguyên bào xơ cơ viêm,https://nhathuoclongchau.com.vn/benh/u-nguyen-bao-xo-co-viem.html
co-xuong-khop,Bệnh tăng trương lực cơ thần kinh ,https://nhathuoclongchau.com.vn/benh/benh-tang-truong-luc-co-than-kinh.html
co-xuong-khop,Hẹp lỗ liên hợp đốt sống cổ,https://nhathuoclongchau.com.vn/benh/hep-lo-lien-hop-dot-song-co.html
co-xuong-khop,Vỡ mâm chày,https://nhathuoclongchau.com.vn/benh/vo-mam-chay.html
co-xuong-khop,Vỡ xương hốc mắt,https://nhathuoclongchau.com.vn/benh/vo-xuong-hoc-mat.html
co-xuong-khop,Hội chứng rung giật cơ lành tính,https://nhathuoclongchau.com.vn/benh/hoi-chung-rung-giat-co-lanh-tinh.html
co-xuong-khop,Nang Tarlov,https://nhathuoclongchau.com.vn/benh/nang-tarlov.html
co-xuong-khop,Loạn dưỡng xương,https://nhathuoclongchau.com.vn/benh/loan-duong-xuong.html
co-xuong-khop,Bệnh Still ở người lớn,https://nhathuoclongchau.com.vn/benh/benh-still-o-nguoi-lon.html
co-xuong-khop,Loạn dưỡng cơ Duchenne,https://nhathuoclongchau.com.vn/benh/loan-duong-co-duchenne.html
co-xuong-khop,Viêm xương sọ,https://nhathuoclongchau.com.vn/benh/viem-xuong-so.html
co-xuong-khop,Hẹp khe khớp háng,https://nhathuoclongchau.com.vn/benh/hep-khe-khop-hang.html
co-xuong-khop,Tiêu xương sọ,https://nhathuoclongchau.com.vn/benh/tieu-xuong-so.html
co-xuong-khop,Gù lưng,https://nhathuoclongchau.com.vn/benh/gu-lung.html
co-xuong-khop,Viêm cân gan chân,https://nhathuoclongchau.com.vn/benh/viem-can-gan-chan.html
co-xuong-khop,Đau bả vai,https://nhathuoclongchau.com.vn/benh/dau-ba-vai.html
co-xuong-khop,Đứt dây chằng,https://nhathuoclongchau.com.vn/benh/dut-day-chang.html
co-xuong-khop,Thoái hóa đốt sống ngực,https://nhathuoclongchau.com.vn/benh/thoai-hoa-dot-song-nguc.html
co-xuong-khop,Thoái hóa đĩa đệm,https://nhathuoclongchau.com.vn/benh/thoai-hoa-dia-dem.html
co-xuong-khop,Bệnh xương Köhler,https://nhathuoclongchau.com.vn/benh/benh-xuong-koehler.html
