category,disease,link,data
co-xuong-khop,Chấn thương dây chằng đầu gối,https://nhathuoclongchau.com.vn/benh/chan-thuong-day-chang-dau-goi.html,"Triệu chứng chấn thương dây chằng đầu gối Những dấu hiệu và triệu chứng của chấn thương dây chằng đầu gối Tùy theo mức độ tổn thương mà triệu chứng có thể nhẹ hay nặng. Một số biểu hiện thường gặp của chấn thương dây chằng đầu gối : Đau nhói ngay lập tức sau chấn thương. Sưng đầu gối, thường sưng nhanh sau vài giờ. Nghe tiếng ""rắc"" hoặc ""bốp"" lúc bị thương. Khó gập, duỗi hoặc đi lại bình thường. Thường tái phát đau và sưng sau khi vận động mạnh. Dây chằng bị đứt hoàn toàn, làm khớp gối mất vững, khó giữ thăng bằng Biến chứng có thể gặp của chấn thương dây chằng đầu gối Nếu không điều trị đúng cách, chấn thương dây chằng có thể gây: Khớp gối mất độ vững lâu dài, làm tăng nguy cơ chấn thương tái diễn. Thoái hóa khớp sớm, đau nhức kéo dài. Giảm khả năng vận động lâu dài. Khi nào cần gặp bác sĩ? Hãy đi khám bác sĩ nếu bạn gặp: Nghe tiếng “rắc” lúc chấn thương. Đau liên tục, không đỡ sau vài ngày nghỉ. Cảm giác gối lỏng, dễ “rụng”. Không gập hoặc duỗi gối được."
co-xuong-khop,Viêm điểm bám gân,https://nhathuoclongchau.com.vn/benh/viem-diem-bam-gan.html,"Triệu chứng viêm điểm bám gân Những dấu hiệu và triệu chứng của viêm điểm bám gân Viêm điểm bám gân thường biểu hiện bằng các dấu hiệu: Đau tại vị trí viêm gân và những vùng xung quanh; Đau âm ỉ hoặc dữ dội và thường nặng hơn khi vận động khớp; Cảm giác cứng khớp , khó cử động, đặc biệt vào buổi sáng hoặc sau thời gian không vận động. Cảm giác ""lục cục"" hay tiếng kêu lạo xạo khớp khi vận động, kèm theo sưng nhẹ và vùng da quanh vị trí viêm gân đỏ hoặc bầm. Một số trường hợp có thể hình thành các khối lắng đọng canxi dưới da, gây ngứa hoặc đau. Viêm điểm bám gân lồi cầu ngoài xương cánh tay Biến chứng của viêm điểm bám gân Nếu không được điều trị đúng cách và kịp thời, viêm điểm bám gân có thể dẫn đến các biến chứng nghiêm trọng như: Viêm gân mạn tính với cơn đau kéo dài và dai dẳng; Giảm khả năng vận động hoặc mất hoàn toàn chức năng vùng cơ thể bị ảnh hưởng; Rách gân (đứt gân), đặc biệt nếu gân yếu hoặc chịu lực căng quá mức; Teo cơ hoặc yếu cơ do không sử dụng khớp đúng cách trong thời gian dài. Điểm bám gân gối Khi nào cần gặp bác sĩ? Bạn nên đến gặp bác sĩ khi các triệu chứng của viêm điểm bám gân trở nên nghiêm trọng hơn: Cơn đau kéo dài hơn vài ngày mà không thuyên giảm dù đã nghỉ ngơi và chăm sóc tại nhà. Cơn đau ngày càng nặng hoặc gây hạn chế vận động trong sinh hoạt hàng ngày. Sưng, nóng, đỏ, đau ngày càng tiến triển. Nghe tiếng kêu hoặc cảm thấy có hiện tượng “lạo xạo” rõ rệt khi cử động khớp. Lệch trục chi do rách gân hoặc không thể cử động chi đau."
co-xuong-khop,Trật khớp hông,https://nhathuoclongchau.com.vn/benh/trat-khop-hong.html,"Triệu chứng trật khớp hông Những dấu hiệu và triệu chứng của trật khớp hông Trong trường hợp trật khớp hông, nếu quan sát chấn thương từ bên ngoài, bạn sẽ thấy chân bị cố định ở một tư thế nhất định, xoay vào trong hoặc ra ngoài. Khoảng 90% trường hợp, khớp háng bị trật ra phía sau khỏi ổ cối (trật khớp háng sau), khiến đầu gối và bàn chân xoay vào trong. Khi khớp háng bị đẩy ra phía trước khỏi ổ cối (trật khớp háng trước), đầu gối và bàn chân sẽ xoay ra ngoài. Chân bị xoay có thể trông ngắn hơn hoặc dài hơn so với chân còn lại. Bạn cũng có thể nhận thấy khớp háng bị lệch hoặc có sưng và đổi màu ở vùng háng. Các triệu chứng bao gồm: Đau cấp tính dữ dội; Co cứng cơ ; Sưng hoặc thay đổi màu sắc ở vùng hông; Chân xoay vào trong hoặc ra ngoài; Không thể cử động chân; Không thể chịu lực trên chân bị thương; Mất cảm giác ở hông hoặc bàn chân; Khớp háng bị lệch rõ rệt. Trật khớp hông gây đau cấp tính dữ dội Khi nào cần gặp bác sĩ? Nếu bạn xuất hiện triệu chứng đau dữ dội cấp tính ở vùng hông, chân biến dạng hoặc mất cảm giác, bạn nên liên hệ ngay với bác sĩ để được kiểm tra và điều trị kịp thời, vì đây là tình trạng khẩn cấp."
co-xuong-khop,Gãy cổ xương đùi​,https://nhathuoclongchau.com.vn/benh/gay-co-xuong-dui.html,"Triệu chứng gãy cổ xương đùi​ Những dấu hiệu và triệu chứng của gãy cổ xương đùi Các triệu chứng thường gặp của gãy cổ xương đùi bao gồm: Đau dữ dội ở vùng hông; Hạn chế hoặc không thể cử động hông và chân; Sưng tấy tại khu vực bị chấn thương; Bầm tím quanh vùng hông; Biến dạng rõ rệt của khớp hông. Biến chứng của gãy cổ xương đùi Gãy cổ xương đùi có thể ảnh hưởng nghiêm trọng đến khả năng sinh hoạt và thậm chí rút ngắn tuổi thọ. Khoảng một nửa số người bị gãy xương hông không thể phục hồi hoàn toàn để sống tự lập. Nếu người bệnh phải nằm lâu do không thể đi lại, có thể gặp các biến chứng như: Cục máu đông hình thành ở chân hoặc di chuyển đến phổi, gây thuyên tắc phổi . Lở loét da do nằm một chỗ quá lâu. Viêm phổi do ít vận động. Mất cơ, làm tăng nguy cơ té ngã và chấn thương khác. Nguy cơ tử vong nếu biến chứng nghiêm trọng. Người bệnh phải nằm bất động kéo dài từ đó dễ hình thành cục máu đông Khi nào cần gặp bác sĩ? Hãy đến gặp ngay bác sĩ nếu bạn bị ngã, tai nạn giao thông hoặc chấn thương để được kiểm tra và xử trí kịp thời."
co-xuong-khop,Vòng thắt chi bẩm sinh,https://nhathuoclongchau.com.vn/benh/vong-that-chi-bam-sinh.html,"Triệu chứng vòng thắt chi bẩm sinh Những dấu hiệu và triệu chứng của vòng thắt chi bẩm sinh Vòng thắt chi bẩm sinh đặc trưng bởi việc như có các dải, nếp gấp da sâu bao quanh một chi, tạo cảm giác như có một sợi dây thắt chặt quanh phần đó của cơ thể. Tình trạng này có thể ảnh hưởng ở tay, chân, các ngón tay hay ngón chân của trẻ, dẫn đến các biểu hiện khác nhau như: Vòng thắt ở ngón tay, bàn tay, cánh tay; Vòng thắt chân, đùi, ngón chân; Mất cân đối ngón tay, dị tật mất ngón tay; Tật mất ngón chân; Phù bạch huyết cánh tay hoặc chân. Biến chứng có thể gặp khi mắc bệnh vòng thắt chi bẩm sinh Các biến chứng có thể xảy ra trong trường hợp vòng thắt chi bẩm sinh bao gồm phù bạch huyết, hoại tử chi, và cắt cụt chi. Ngoài ra, các dị tật ở tay và chân có thể xuất hiện và gây ảnh hưởng đến khả năng học tập, sinh hoạt hàng ngày và cuộc sống xã hội của trẻ trong tương lai. Vòng thắt chi bẩm sinh có thể dẫn đến các tật mất ngón tay, ngón chân Khi nào cần gặp bác sĩ? Trong trường hợp trẻ gặp phải hội chứng vòng thắt chi bẩm sinh, việc tham khảo ý kiến của bác sĩ về phương pháp điều trị phẫu thuật tái tạo là rất quan trọng. Đối với những trường hợp không thể thực hiện phẫu thuật tái tạo, các biện pháp điều trị khác cũng có thể được áp dụng để giúp trẻ nâng cao chức năng cho các chi bị ảnh hưởng, tạo điều kiện thuận lợi cho sự phát triển và hòa nhập của trẻ vào xã hội."
co-xuong-khop,u nguyên bào xơ cơ viêm,https://nhathuoclongchau.com.vn/benh/u-nguyen-bao-xo-co-viem.html,"Triệu chứng u nguyên bào xơ cơ viêm Những dấu hiệu và triệu chứng của u nguyên bào xơ cơ viêm Các khối u xuất phát từ u nguyên bào xơ cơ viêm có thể xuất hiện ở nhiều vị trí khác nhau trong cơ thể, nhưng thường được phát hiện tại phổi hoặc bụng ở trẻ em. Triệu chứng mà bệnh nhân trải qua sẽ thay đổi tùy theo vị trí mà khối u phát triển. Khi được chẩn đoán, bệnh nhân thường không cảm thấy đau với khối u, và thậm chí không có bất kỳ dấu hiệu nào cho đến khi kích thước của khối u gây ra biến chứng. Các triệu chứng có thể bao gồm: Cảm giác đau (tuỳ thuộc vào vị trí khối u); Tăng kích thước bụng (khối u ở bụng gây tắc nghẽn); Đau bụng; Tiêu chảy ; Khó thở; Sốt ; Sụt cân; Đổ mồ hôi đêm . Đổ mồ hôi đêm hay đổ mồ hôi trộm có thể là một triệu chứng của u nguyên bào xơ cơ viêm Biến chứng có thể gặp khi mắc bệnh u nguyên bào xơ cơ viêm U nguyên bào xơ cơ viêm được xem là một tình trạng lành tính, và trong hầu hết các trường hợp, không phát hiện sự lan rộng của u này tới các vùng khác trong cơ thể, tức là hiếm khi có sự di căn xảy ra. Tuy nhiên, mặc dù là một loại u lành tính, khối u này vẫn có khả năng xâm lấn vào mô lân cận, gây ra các biến chứng và ảnh hưởng đến chức năng bình thường của cơ thể. Việc khối u xâm lấn vào mô lân cận có thể tạo áp lực lên các cấu trúc xung quanh, gây ra sự ức chế hoặc chèn ép các cơ quan và mạch máu, dẫn đến các vấn đề sức khỏe phức tạp. Ví dụ như khối u phát triển ở dạ dày hoặc phổi của trẻ, gây ảnh hưởng đến tiêu hoá và hô hấp. Khi nào cần gặp bác sĩ? Bạn hãy đến gặp bác sĩ hoặc đưa con của bạn đến gặp bác sĩ nếu thấy xuất hiện các triệu chứng bất thường nghi ngờ mắc u nguyên bào xơ cơ viêm. Nếu đã có chẩn đoán trước đó, bạn hãy tái khám khi các triệu chứng không giảm, nặng lên hoặc thay đổi so với trước."
co-xuong-khop,Bệnh tăng trương lực cơ thần kinh ,https://nhathuoclongchau.com.vn/benh/benh-tang-truong-luc-co-than-kinh.html,"Triệu chứng bệnh tăng trương lực cơ thần kinh Những dấu hiệu và triệu chứng của bệnh tăng trương lực cơ thần kinh Các triệu chứng thường gặp của bệnh tăng trương lực cơ thần kinh bao gồm: Co giật cơ; Chuột rút ; Cứng cơ tiến triển; Tăng khối lượng cơ bắp chân (tăng sản cơ); Đổ mồ hôi quá mức ; Nhịp tim nhanh; Sụt cân. Nếu bạn mắc bệnh tăng trương lực cơ thần kinh, bạn có thể cảm thấy cơ của mình co thắt hoặc co giật liên tục, đặc biệt là ở cơ bắp tay và chân. Tình trạng này có thể xảy ra ngay cả khi bạn đang ngủ. Bạn cũng có thể cảm thấy cơ bắp của mình có phản ứng chậm trong quá trình nghỉ ngơi. Ví dụ, nếu bạn nhắm chặt mắt trong vài giây, chúng có thể không mở ngay lập tức khi bạn thư giãn chúng. Một số trường hợp đã được báo cáo rằng bệnh tăng trương lực cơ thần kinh có liên quan đến: Mất ngủ; Thay đổi tính cách và tâm trạng; Rối loạn lo âu ; Trầm cảm. Các triệu chứng khác của bệnh tăng trương lực cơ thần kinh ít gặp hơn, bao gồm: Đau cơ; Giảm phản xạ; Tê; Rối loạn nhịp tim ; Tăng tiết nước bọt; Giảm trí nhớ; Lú lẫn; Ảo giác; Táo bón . Bệnh có thể ảnh hưởng đến khả năng nói chuyện, hít thở và nuốt của bạn, nhưng tình trạng này thường ít gặp. Người bệnh tăng trương lực cơ thần kinh có thể xuất hiện triệu chứng rối loạn nhịp tim Khi nào cần gặp bác sĩ? Nếu bạn xuất hiện bất kỳ dấu hiệu hay triệu chứng nào của bệnh tăng trương lực cơ thần kinh, bạn nên đến cơ sở y tế để được thăm khám và tư vấn. Chẩn đoán và điều trị sớm bệnh tăng trương lực cơ thần kinh giúp giảm nguy cơ tăng nặng của bệnh."
co-xuong-khop,Hẹp lỗ liên hợp đốt sống cổ,https://nhathuoclongchau.com.vn/benh/hep-lo-lien-hop-dot-song-co.html,"Triệu chứng hẹp lỗ liên hợp đốt sống cổ Những dấu hiệu và triệu chứng của Hẹp lỗ liên hợp đốt sống cổ Hẹp lỗ liên hợp đốt sống cổ không phải lúc nào cũng gây ra triệu chứng. Hẹp có thể phát hiện trên các hình ảnh học nhưng hoàn toàn không gây ra bất cứ triệu chứng nào ở người bệnh. Trong trường hợp có triệu chứng, các triệu chứng có thể bao gồm: Đau cổ : Người bệnh có thể đau tại vùng cổ, cấp hoặc mạn tính, cảm giác đau âm ỉ hoặc đau nhói. Có thể kèm với sưng và cứng khớp vùng cổ. Đau cánh tay: Cảm giác đau lan dọc từ vùng cổ đến cánh tay hoặc bàn tay. Tê yếu: Tê hoặc ngứa ran ở cánh tay hoặc bàn tay, có thể kèm yếu tay. Đau hoặc tê yếu tay có thể là triệu chứng của hẹp lỗ liên hợp đốt sống cổ Biến chứng có thể gặp khi mắc bệnh Hẹp lỗ liên hợp đốt sống cổ Trong trường hợp người bệnh bị hẹp lỗ liên hợp đốt sống cổ nghiêm trọng, có thể dẫn đến các triệu chứng nặng nề hơn. Tình trạng đau mạn tính có thể ảnh hưởng đến sức khoẻ của người bệnh như ảnh hưởng đến giấc ngủ, rối loạn lo âu và trầm cảm . Đau và tê yếu vùng cánh tay (do hẹp lỗ liên hợp đốt sống cổ gây chèn ép rễ thần kinh chi phối vùng cánh tay như rễ C6) có thể ảnh hưởng đến các hoạt động thường ngày như việc cầm nắm. Khi nào cần gặp bác sĩ? Nếu bạn bị đau vùng cổ kéo dài một vài tuần và không thuyên giảm, hãy đến gặp bác sĩ để được xác định xem cơn đau có phải do hẹp lỗ liên hợp hay không. Nếu bạn gặp các triệu chứng nghiêm trọng hơn như tê yếu tay, hãy đến gặp bác sĩ càng sớm càng tốt để được chẩn đoán và điều trị. Vì trong trường hợp đủ nghiêm trọng, hẹp lỗ liên hợp đốt sống cổ có thể gây chèn ép và tổn thương dây thần kinh."
co-xuong-khop,Vỡ mâm chày,https://nhathuoclongchau.com.vn/benh/vo-mam-chay.html,"Triệu chứng vỡ mâm chày Những triệu chứng của Vỡ mâm chày Gãy mâm chày có một số triệu chứng đáng chú ý sau, đặc biệt đáng lưu ý hơn khi chúng xuất hiện sau một chấn thương vùng gối: Đau vùng gối; Sưng khớp gối; Có điểm đau chói vùng gối; Không thể chịu tải trọng lên gối; Hạn chế vận động khớp gối. Đau chói vùng đầu gối sau chấn thương là một triệu chứng tổn thương xương vùng này Tác động của Vỡ mâm chày với sức khỏe Mâm chày bị tổn thương thì sẽ gây đau đớn cho người mắc, tác động xấu tới phần xương, sụn và quá trình cử động, di chuyển của chân. Từ đó, ảnh hưởng cuộc sống sinh hoạt, làm việc, vận động của người bệnh. Biến chứng có thể gặp Vỡ mâm chày Mâm chày là phần xương xốp nên khi gãy dễ bị lún mất xương nhưng cũng mau lành. Mâm chày có mặt sụn khớp nên khi gãy sẽ làm phẳng sụn khớp mất sự liền lạc, bề mặt sụn khớp bị khấp khểnh. Nắn chỉnh không chính xác sẽ gây hạn chế vận động khớp và nhanh thoái hóa khớp về sau. Khi nào cần gặp bác sĩ? Khi có bất kỳ triệu chứng khó chịu nào vùng khớp gối hay nghi ngờ vỡ mâm chày bạn nên đến khám bác sĩ ngay."
co-xuong-khop,Vỡ xương hốc mắt,https://nhathuoclongchau.com.vn/benh/vo-xuong-hoc-mat.html,"Triệu chứng vỡ xương hốc mắt Những dấu hiệu và triệu chứng của vỡ xương hốc mắt Một số người bị vỡ xương hốc mắt không có triệu chứng. Nhưng chúng thường gây đau đớn tại chỗ. Nó phụ thuộc vào loại gãy xương và mức độ nghiêm trọng của vết thương. Các triệu chứng có thể bao gồm: Nhìn mờ, nhìn đôi hoặc suy giảm thị lực ; Sưng mắt; Vết bầm đen, xanh hoặc tím quanh mắt; Tụ máu ở phần tròng trắng mắt; Sưng má hoặc trán; Tê hoặc yếu mặt; Khó di chuyển mắt theo bất kỳ hướng nào; Nhãn cầu bị trũng hoặc nhãn cầu lồi; Chảy máu cam . Trong một số trường hợp nặng, vỡ xương hốc mắt có thể dẫn đến suy giảm thị lực Khi nào cần gặp bác sĩ? Nếu bạn có các dấu hiệu và triệu chứng của vỡ xương hốc mắt, hãy lập tức liên hệ ngay với bác sĩ để được chẩn đoán và điều trị kịp thời."
